-- ================================================
-- 🔥 AIMBOT PRO v12 - FATALITY EDITION (FINAL)
-- ✅ All Features + New Crosshair System
-- ✅ Hexagon, Star, Square, Dot, Heart Crosshairs
-- ✅ Crosshair Size, Thickness, Opacity Controls
-- ✅ GUI Size Adjustment + Toggle Lock
-- ================================================

-- ========== SERVICES ==========
local Players = game:GetService("Players")
local RunService = game:GetService("RunService")
local UserInputService = game:GetService("UserInputService")
local TweenService = game:GetService("TweenService")
local Lighting = game:GetService("Lighting")
local HttpService = game:GetService("HttpService")
local CoreGui = game:GetService("CoreGui")
local Stats = game:GetService("Stats")

local LocalPlayer = Players.LocalPlayer
local Camera = workspace.CurrentCamera
local Mouse = LocalPlayer:GetMouse()

local function SafeSet(prop, value)
CreateColorPicker(clr, "Skeleton Color", 240, Settings.SkeletonColor, function(v) Settings.SkeletonColor = v end)
CreateColorPicker(clr, "Accent Color", 274, Settings.AccentColor, function(v)
    Settings.AccentColor = v
    MainStroke.Color = C3(v)
    ToggleStroke.Color = C3(v)
    RebuildParticles()
end)
CreateButton(clr, "🔄 Reset Colors", 320, function()
    Settings.FOVColor = {180, 100, 255}
    Settings.ESPColor = {180, 100, 255}
    Settings.CrosshairColor = {255, 80, 180}
    Settings.ChamsColor = {180, 50, 255}
    Settings.ChamsOutlineColor = {255, 255, 255}
    Settings.GlowColor = {180, 100, 255}
    Settings.SkeletonColor = {255, 255, 255}
    Settings.AccentColor = {180, 100, 255}
    UpdateChamsColor()
    Notify("✅ Colors Reset!")
end)
clr.CanvasSize = UDim2.new(0, 0, 0, 360)

-- ========== BUILD TAB 13: SETTINGS (GUI SIZE + TOGGLE LOCK) ==========
local stt = TabPages[13]
local CONFIG = "AimbotPROv12F"

CreateSection(stt, "📐 GUI SIZE", 5)
CreateSlider(stt, "GUI Scale (%)", 36, 50, 150, 100, function(v)
    Settings.GUIScale = v
    local scale = v / 100
    local w = math.floor(BASE_WIDTH * scale)
    local h = math.floor(BASE_HEIGHT * scale)
    MainFrame.Size = UDim2.new(0, w, 0, h)
    MainFrame.Position = UDim2.new(0.5, -w / 2, 0.5, -h / 2)
end)

CreateSection(stt, "🔒 TOGGLE BUTTON", 86)
CreateToggle(stt, "Lock Toggle Position", 117, false, function(s)
    Settings.ToggleButtonLocked = s
    LockIcon.Visible = s
    if s then Notify("🔒 Toggle locked!") else Notify("🔓 Toggle unlocked!") end
end)

CreateSection(stt, "💾 CONFIG", 157)
CreateButton(stt, "💾 Save Config", 188, function()
    local d = {}
    for k, v in pairs(Settings) do d[k] = v end
    local ok = pcall(function() writefile(CONFIG .. ".json", HttpService:JSONEncode(d)) end)
    if ok then Notify("✅ Config Saved!") else Notify("❌ Save Failed!") end
end)
CreateButton(stt, "📂 Load Config", 225, function()
    local ok, configData = pcall(function() return readfile(CONFIG .. ".json") end)
    if ok and configData then
        local ok2, d = pcall(function() return HttpService:JSONDecode(configData) end)
        if ok2 and d then
            for k, v in pairs(d) do if Settings[k] ~= nil then Settings[k] = v end end
            ApplyWorldSettings()
            RefreshChams()
            RebuildParticles()
            RebuildCrosshair()
            LockIcon.Visible = Settings.ToggleButtonLocked
            if Settings.WeatherEnabled then InitWeather() end
            local scale = Settings.GUIScale / 100
            local w = math.floor(BASE_WIDTH * scale)
            local h = math.floor(BASE_HEIGHT * scale)
            MainFrame.Size = UDim2.new(0, w, 0, h)
            MainFrame.Position = UDim2.new(0.5, -w / 2, 0.5, -h / 2)
            Notify("✅ Config Loaded!")
        end
    else
        Notify("❌ No Config!")
    end
end)
CreateButton(stt, "🗑 Reset All", 262, function()
    Settings.AimbotEnabled = false
    Settings.ESPEnabled = false
    Settings.ChamsEnabled = false
    Settings.AntiAimEnabled = false
    Settings.GlowEnabled = false
    Settings.WeatherEnabled = false
    ClearWeather()
    RefreshChams()
    ResetWorld()
    Notify("✅ Reset Complete!")
end)

CreateSection(stt, "ℹ INFO", 307)
CreateLabel(stt, "AIMBOT PRO v12 - FATALITY EDITION", 10, 341, 400, 20, 13, Color3.fromRGB(220, 180, 255))
CreateLabel(stt, "• 5 Crosshair Types: Heart, Hexagon, Star, Square, Dot", 10, 366, 500, 20, 11)
CreateLabel(stt, "• Crosshair: Size, Thickness, Opacity, Rotation", 10, 386, 500, 20, 11)
CreateLabel(stt, "• GUI Scale: Resize the entire menu", 10, 406, 500, 20, 11)
CreateLabel(stt, "• Toggle Lock: Lock/Unlock button position", 10, 426, 500, 20, 11)
CreateLabel(stt, "• Movement, Extra, Inventory, Indicator tabs", 10, 446, 500, 20, 11)
stt.CanvasSize = UDim2.new(0, 0, 0, 480)

-- ========== AIMBOT INPUT ==========
UserInputService.InputBegan:Connect(function(input, gp)
    if gp then return end
    if not Settings.AimbotEnabled then return end
    if input.UserInputType == Enum.UserInputType.MouseButton2 then
        if Settings.AimbotMode == "Hold" then
            AimbotActive = true
        elseif Settings.AimbotMode == "Toggle" then
            ToggleActive = not ToggleActive
        end
    end
end)
UserInputService.InputEnded:Connect(function(input)
    if Settings.AimbotMode == "Hold" and input.UserInputType == Enum.UserInputType.MouseButton2 then
        AimbotActive = false
    end
end)

-- ========== SKELETON BONES ==========
local SkeletonBones = {
    {"Head", "UpperTorso"},
    {"UpperTorso", "LowerTorso"},
    {"UpperTorso", "LeftUpperArm"},
    {"UpperTorso", "RightUpperArm"},
    {"LowerTorso", "LeftUpperLeg"},
    {"LowerTorso", "RightUpperLeg"},
}

-- ========== FPS COUNTER ==========
local fpsFrames = 0
local fpsTime = 0
local currentFPS = 0

-- ========== TOOL ESP UPDATE ==========
local function UpdateToolESP()
    if not Settings.ToolESP then
        for _, data in pairs(ToolESPData) do
            if data.hl then pcall(function() data.hl:Destroy() end) end
            if data.bb then pcall(function() data.bb:Destroy() end) end
        end
        ToolESPData = {}
        return
    end
    local foundTools = {}
    for _, obj in ipairs(workspace:GetDescendants()) do
        if obj:IsA("Tool") and not obj:FindFirstAncestorOfClass("Backpack") then
            local par = obj.Parent
            if par and not Players:GetPlayerFromCharacter(par) then
                foundTools[obj] = true
                if not ToolESPData[obj] then
                    ToolESPData[obj] = {}
                    local handle = obj:FindFirstChild("Handle") or obj:FindFirstChildWhichIsA("BasePart")
                    if handle then
                        local hl = Instance.new("Highlight")
                        hl.FillColor = C3(Settings.ToolESPColor)
                        hl.OutlineColor = C3(Settings.ToolESPColor)
                        hl.FillTransparency = 0.5
                        hl.OutlineTransparency = 0
                        hl.Adornee = obj
                        pcall(function() hl.Parent = obj end)
                        ToolESPData[obj].hl = hl
                        if Settings.ToolESPName then
                            local bb = Instance.new("BillboardGui")
                            bb.Size = UDim2.new(0, 100, 0, 30)
                            bb.StudsOffset = Vector3.new(0, 2, 0)
                            bb.AlwaysOnTop = true
                            bb.Adornee = handle
                            local lbl = Instance.new("TextLabel")
                            lbl.Size = UDim2.new(1, 0, 1, 0)
                            lbl.BackgroundTransparency = 1
                            lbl.Text = obj.Name
                            lbl.TextColor3 = C3(Settings.ToolESPNameColor)
                            lbl.TextSize = 12
                            lbl.Font = Enum.Font.GothamBold
                            lbl.TextStrokeTransparency = 0
                            lbl.Parent = bb
                            pcall(function() bb.Parent = handle end)
                            ToolESPData[obj].bb = bb
                        end
                    end
                else
                    if ToolESPData[obj].hl then
                        ToolESPData[obj].hl.FillColor = C3(Settings.ToolESPColor)
                        ToolESPData[obj].hl.OutlineColor = C3(Settings.ToolESPColor)
                    end
                end
            end
        end
    end
    for tool, data in pairs(ToolESPData) do
        if not foundTools[tool] or not tool.Parent then
            if data.hl then pcall(function() data.hl:Destroy() end) end
            if data.bb then pcall(function() data.bb:Destroy() end) end
            ToolESPData[tool] = nil
        end
    end
end

local toolESPTimer = 0
local dormantPositions = {}

-- ========== MAIN RENDER LOOP ==========
local crosshairRot = 0
local titleBeat = 0
local tt = 0

RunService.RenderStepped:Connect(function(dt)
    tt = tt + dt
    local center = Vector2.new(Camera.ViewportSize.X / 2, Camera.ViewportSize.Y / 2)

    ApplyAntiAim(dt)

    -- FPS Counter
    fpsFrames = fpsFrames + 1
    fpsTime = fpsTime + dt
    if fpsTime >= 0.5 then
        currentFPS = math.floor(fpsFrames / fpsTime)
        fpsFrames = 0
        fpsTime = 0
    end

    -- Stats HUD
    if Settings.ShowFPS then
        FPSLabel.Text = "FPS: " .. currentFPS
        FPSLabel.Visible = true
    else
        FPSLabel.Visible = false
    end
    if Settings.ShowMS then
        MSLabel.Text = "MS: " .. math.floor(dt * 1000)
        MSLabel.Visible = true
    else
        MSLabel.Visible = false
    end
    if Settings.FakePing then
        PingLabel.Text = "Ping: " .. Settings.FakePingValue .. "ms"
        PingLabel.Visible = true
    else
        local ok, ping = pcall(function() return math.floor(Stats.Network.ServerStatsItem["Data Ping"]:GetValue()) end)
        PingLabel.Text = ok and ("Ping: " .. ping .. "ms") or "Ping: ?"
        PingLabel.Visible = Settings.ShowMS or Settings.ShowFPS
    end

    -- Movement
    local ch2 = LocalPlayer.Character
    if ch2 then
        local hu = ch2:FindFirstChildOfClass("Humanoid")
        local hrp = ch2:FindFirstChild("HumanoidRootPart")
        if hu and hrp then
            if Settings.BunnyHop and hu:GetState() == Enum.HumanoidStateType.Landed then
                hu.Jump = true
            end
            if Settings.CircleStrafe and hu.MoveDirection.Magnitude > 0 then
                hrp.CFrame = CFrame.new(hrp.Position) * CFrame.Angles(0, tt * 3, 0)
            end
            if Settings.StrafeInAir and hu:GetState() == Enum.HumanoidStateType.Freefall then
                local moveDir = hu.MoveDirection
                if moveDir.Magnitude > 0 then
                    hrp.Velocity = Vector3.new(moveDir.X * 30, hrp.Velocity.Y, moveDir.Z * 30)
                end
            end
            if Settings.QuickStop and hu.MoveDirection.Magnitude < 0.1 then
                hrp.Velocity = Vector3.new(0, hrp.Velocity.Y, 0)
            end
            if Settings.JumpBug and hu:GetState() == Enum.HumanoidStateType.Freefall and hrp.Velocity.Y < -30 then
                hu:ChangeState(Enum.HumanoidStateType.Landed)
            end
        end
    end

    -- Compass
    if Settings.Compass and ch2 then
        local dir = Camera.CFrame.LookVector
        local ang = math.deg(math.atan2(-dir.X, -dir.Z))
        local dirName = "N"
        if ang > -22.5 and ang <= 22.5 then dirName = "N"
        elseif ang > 22.5 and ang <= 67.5 then dirName = "NE"
        elseif ang > 67.5 and ang <= 112.5 then dirName = "E"
        elseif ang > 112.5 and ang <= 157.5 then dirName = "SE"
        elseif ang > 157.5 or ang <= -157.5 then dirName = "S"
        elseif ang > -157.5 and ang <= -112.5 then dirName = "SW"
        elseif ang > -112.5 and ang <= -67.5 then dirName = "W"
        elseif ang > -67.5 and ang <= -22.5 then dirName = "NW"
        end
        CompassLabel.Text = dirName .. " (" .. math.floor(ang) .. "°)"
    end

    -- Inventory Full Warning
    if Settings.InventoryFullWarning then
        local bp = LocalPlayer:FindFirstChild("Backpack")
        if bp then
            local count = 0
            for _, t in ipairs(bp:GetChildren()) do
                if t:IsA("Tool") then count = count + 1 end
            end
            InvFullFrame.Visible = count >= 6
            if count >= 6 then InvFullLabel.Text = "⚠ Inventory Full (" .. count .. ")" end
        end
    else
        InvFullFrame.Visible = false
    end

    -- TP Cooldown
    if Settings.TeleportCooldownInd then
        TPCooldownFrame.Visible = true
        TPCooldownLabel.Text = "TP: Ready"
        TPCooldownLabel.TextColor3 = Color3.fromRGB(80, 255, 120)
    end

    -- Nearby Enemy
    if Settings.NearbyEnemy and ch2 then
        local myHrp = ch2:FindFirstChild("HumanoidRootPart")
        if myHrp then
            local nearby = false
            local closestDist = math.huge
            for _, p in ipairs(Players:GetPlayers()) do
                if p ~= LocalPlayer and p.Character and p.Character:FindFirstChild("HumanoidRootPart") then
                    local d = (p.Character.HumanoidRootPart.Position - myHrp.Position).Magnitude
                    if d < 30 then
                        nearby = true
                        if d < closestDist then closestDist = d end
                    end
                end
            end
            NearbyAlert.Visible = nearby
            if nearby then
                NearbyLabel.Text = "⚠ ENEMY " .. math.floor(closestDist) .. "m"
                NearbyStroke.Color = C3(Settings.NearbyEnemyColor)
                NearbyLabel.TextColor3 = C3(Settings.NearbyEnemyColor)
            end
        end
    else
        NearbyAlert.Visible = false
    end

    -- Tool ESP
    toolESPTimer = toolESPTimer + dt
    if toolESPTimer > 0.5 then
        toolESPTimer = 0
        UpdateToolESP()
    end

    -- Weather
    if Settings.WeatherEnabled and #WeatherParticles > 0 then
        for _, p in ipairs(WeatherParticles) do
            local pos = p.frame.Position
            local nx = pos.X.Scale + p.vx * dt
            local ny = pos.Y.Scale + p.vy * dt
            if ny > 1.1 then ny = -0.1; nx = math.random() end
            if nx > 1.1 then nx = 0 elseif nx < -0.1 then nx = 1 end
            p.frame.Position = UDim2.new(nx, 0, ny, 0)
        end
    end

    local speed = Settings.ParticleSpeed / 5
    if ParticleOverlay.Visible then
        for _, p in ipairs(BgParticles) do
            local pos = p.frame.Position
            local nx = pos.X.Scale + p.vx * dt * speed
            local ny = pos.Y.Scale + p.vy * dt * speed
            if nx < 0 then nx = 1 elseif nx > 1 then nx = 0 end
            if ny < 0 then ny = 1 elseif ny > 1 then ny = 0 end
            p.frame.Position = UDim2.new(nx, 0, ny, 0)
            if Settings.ParticleColor == "Rainbow" then
                p.hue = (p.hue + dt * 0.1) % 1
                local col = Color3.fromHSV(p.hue, 0.7, 1)
                p.frame.BackgroundColor3 = col
                p.stroke.Color = col
            end
        end
    end
    if MainFrame.Visible then
        for _, p in ipairs(InnerParticles) do
            local pos = p.frame.Position
            local nx = pos.X.Scale + p.vx * dt * speed
            local ny = pos.Y.Scale + p.vy * dt * speed
            if nx < 0 then nx = 1 elseif nx > 1 then nx = 0 end
            if ny < 0 then ny = 1 elseif ny > 1 then ny = 0 end
            p.frame.Position = UDim2.new(nx, 0, ny, 0)
        end
    end

    -- Title effects
    titleBeat = (titleBeat + dt * 145) % 360
    HeartLabel.Rotation = titleBeat
    HeartLabel.TextColor3 = Color3.fromHSV((titleBeat * 0.003 + 0.85) % 1, 0.8, 1)
    glowStroke.Transparency = 0.75 + math.sin(tt * 2) * 0.15
    glowStroke.Color = Color3.fromHSV((tt * 0.05 + 0.75) % 1, 0.7, 1)
    ToggleStroke.Thickness = 2.5 + math.sin(tt * 3) * 0.8

    -- FOV Circle
    if FOVCircle then
        FOVCircle.Position = center
        FOVCircle.Radius = Settings.FOV
        FOVCircle.Color = C3(Settings.FOVColor)
        FOVCircle.Visible = Settings.ShowFOV
    end

    -- ========== CROSSHAIR RENDERING ==========
    if Settings.CrosshairRotation then
        crosshairRot = (crosshairRot + dt * Settings.CrosshairRotSpeed) % 360
    end
    local rot = math.rad(crosshairRot)
    local sizeMult = Settings.CrosshairSize / 100
    local thickMult = Settings.CrosshairThickness / 100
    local opacity = Settings.CrosshairOpacity / 100
    local gap = Settings.CrosshairGap
    local cType = Settings.CrosshairType
    local cColor = C3(Settings.CrosshairColor)
    local oColor = C3(Settings.CrosshairOutlineColor)

    if cType == "Dot" then
        -- Single dot
        for i, d in ipairs(crosshairDots) do
            d.Position = center
            d.Radius = Settings.CrosshairDotSize * thickMult
            d.Color = cColor
            d.Transparency = opacity
            d.Visible = Settings.ShowCrosshair and opacity > 0.01
        end
        for _, l in ipairs(crosshairLines) do l.Visible = false end
        for _, l in ipairs(crosshairOutlineLines) do l.Visible = false end
    elseif cType == "Heart" or cType == "Square" then
        -- Dot-based shapes
        for i, d in ipairs(crosshairDots) do
            if crosshairPoints[i] then
                local pt = crosshairPoints[i]
                local scaled = Vector2.new(pt.X * sizeMult, pt.Y * sizeMult)
                if gap > 0 then
                    local dir = scaled.Magnitude > 0 and scaled.Unit or Vector2.new(0, 0)
                    scaled = scaled + dir * gap
                end
                local rv = RotateV2(scaled, rot)
                d.Position = center + rv
                d.Radius = 1.6 * thickMult
                d.Color = cColor
                d.Transparency = opacity
                d.Visible = Settings.ShowCrosshair and opacity > 0.01
            else
                d.Visible = false
            end
        end
        for _, l in ipairs(crosshairLines) do l.Visible = false end
        for _, l in ipairs(crosshairOutlineLines) do l.Visible = false end
    elseif cType == "Hexagon" or cType == "Star" then
        -- Line-based shapes
        for _, d in ipairs(crosshairDots) do d.Visible = false end
        local pts = crosshairPoints
        for i, l in ipairs(crosshairLines) do
            if pts[i] then
                local ni = (i % #pts) + 1
                local p1 = pts[i]
                local p2 = pts[ni]
                local s1 = Vector2.new(p1.X * sizeMult, p1.Y * sizeMult)
                local s2 = Vector2.new(p2.X * sizeMult, p2.Y * sizeMult)
                if gap > 0 then
                    local d1 = s1.Magnitude > 0 and s1.Unit or Vector2.new(0, 0)
                    local d2 = s2.Magnitude > 0 and s2.Unit or Vector2.new(0, 0)
                    s1 = s1 + d1 * gap
                    s2 = s2 + d2 * gap
                end
                local r1 = RotateV2(s1, rot)
                local r2 = RotateV2(s2, rot)
                l.From = center + r1
                l.To = center + r2
                l.Color = cColor
                l.Thickness = 2 * thickMult
                l.Transparency = opacity
                l.Visible = Settings.ShowCrosshair and opacity > 0.01
            else
                l.Visible = false
            end
        end
        -- Outline
        for i, ol in ipairs(crosshairOutlineLines) do
            if Settings.CrosshairOutline and pts[i] and crosshairLines[i] then
                local ni = (i % #pts) + 1
                local p1 = pts[i]
                local p2 = pts[ni]
                local s1 = Vector2.new(p1.X * sizeMult, p1.Y * sizeMult)
                local s2 = Vector2.new(p2.X * sizeMult, p2.Y * sizeMult)
                if gap > 0 then
                    local d1 = s1.Magnitude > 0 and s1.Unit or Vector2.new(0, 0)
                    local d2 = s2.Magnitude > 0 and s2.Unit or Vector2.new(0, 0)
                    s1 = s1 + d1 * gap
                    s2 = s2 + d2 * gap
                end
                local r1 = RotateV2(s1, rot)
                local r2 = RotateV2(s2, rot)
                ol.From = center + r1
                ol.To = center + r2
                ol.Color = oColor
                ol.Thickness = (2 * thickMult) + 2
                ol.Transparency = opacity * 0.7
                ol.Visible = Settings.ShowCrosshair and opacity > 0.01
            else
                if ol then ol.Visible = false end
            end
        end
    end

    -- ========== AIMBOT ==========
    local shouldAim = false
    if Settings.AimbotEnabled then
        if Settings.AimbotMode == "Always" then
            shouldAim = true
        elseif Settings.AimbotMode == "Hold" then
            shouldAim = AimbotActive
        elseif Settings.AimbotMode == "Toggle" then
            shouldAim = ToggleActive
        end
    end
    if shouldAim then
        local target, pos = GetClosestPlayer()
        if target and pos then
            local tcf = CFrame.new(Camera.CFrame.Position, pos)
            if Settings.Smoothness <= 0 then
                Camera.CFrame = tcf
            else
                local a = math.clamp(dt * (22 - Settings.Smoothness) * 3, 0, 1)
                Camera.CFrame = Camera.CFrame:Lerp(tcf, a)
            end
        end
    end

    -- ========== RADAR ==========
    if Settings.RadarEnabled and RadarFrame.Visible then
        local lp = LocalPlayer.Character and LocalPlayer.Character:FindFirstChild("HumanoidRootPart")
        for p, dot in pairs(RadarDots) do
            if not p.Parent or not p.Character then
                dot.Visible = false
            else
                local root = p.Character:FindFirstChild("HumanoidRootPart")
                if root and lp then
                    local rel = root.Position - lp.Position
                    local camCF = Camera.CFrame
                    local look = Vector3.new(camCF.LookVector.X, 0, camCF.LookVector.Z).Unit
                    local ang = math.atan2(look.X, look.Z)
                    local cs, sn = math.cos(-ang), math.sin(-ang)
                    local rx = rel.X * cs - rel.Z * sn
                    local rz = rel.X * sn + rel.Z * cs
                    local zoom = Settings.RadarZoom
                    local px = math.clamp(0.5 + (rx / zoom / 2), 0, 1)
                    local py = math.clamp(0.5 + (rz / zoom / 2), 0, 1)
                    dot.Position = UDim2.new(px, -3, py, -3)
                    dot.BackgroundColor3 = C3(Settings.ESPColor)
                    dot.Visible = true
                else
                    dot.Visible = false
                end
            end
        end
        for _, p in ipairs(Players:GetPlayers()) do
            if p ~= LocalPlayer then GetRadarDot(p) end
        end
    else
        for _, dot in pairs(RadarDots) do dot.Visible = false end
    end

    -- ========== ESP ==========
    for player, esp in pairs(ESPData) do
        if not player or not player.Parent then HideESP(esp); continue end
        if not Settings.ESPEnabled then HideESP(esp); continue end
        local ch3 = player.Character
        if not ch3 then
            if Settings.ESPDormant and dormantPositions[player] and esp.DormantMarker then
                local dp = dormantPositions[player]
                local sp, onS = Camera:WorldToViewportPoint(dp)
                if onS then
                    esp.DormantMarker.From = Vector2.new(sp.X, sp.Y - 10)
                    esp.DormantMarker.To = Vector2.new(sp.X, sp.Y + 10)
                    esp.DormantMarker.Color = Color3.fromRGB(150, 150, 150)
                    esp.DormantMarker.Visible = true
                end
            else
                HideESP(esp)
            end
            continue
        end
        local hu = ch3:FindFirstChildOfClass("Humanoid")
        local root = ch3:FindFirstChild("HumanoidRootPart")
        local head = ch3:FindFirstChild("Head")
        if not (hu and hu.Health > 0 and root and head) then HideESP(esp); continue end
        dormantPositions[player] = root.Position
        local ht = head.Position + Vector3.new(0, head.Size.Y / 2, 0)
        local rb = root.Position - Vector3.new(0, root.Size.Y / 2 + 2.3, 0)
        local hs, hv = Camera:WorldToViewportPoint(ht)
        local rs, rv = Camera:WorldToViewportPoint(rb)
        if not (hv and rv) then HideESP(esp); continue end
        local top, bot = hs.Y, rs.Y
        local h = bot - top
        local cx = (hs.X + rs.X) / 2
        local w = math.max(h * 0.5, 20)

        for _, l in ipairs(esp.BoxLines) do l.Visible = false end
        for _, l in ipairs(esp.CornerLines) do l.Visible = false end
        for _, l in ipairs(esp.Box3DLines) do l.Visible = false end

        if Settings.ESPBoxes then
            if Settings.ESPBoxStyle == "2D" then
                local tl = Vector2.new(cx - w / 2, top)
                local tr2 = Vector2.new(cx + w / 2, top)
                local bl = Vector2.new(cx - w / 2, bot)
                local br = Vector2.new(cx + w / 2, bot)
                local pts = {tl, tr2, br, bl}
                for i = 1, 4 do
                    local ni = (i % 4) + 1
                    if esp.BoxLines[i] then
                        esp.BoxLines[i].From = pts[i]
                        esp.BoxLines[i].To = pts[ni]
                        esp.BoxLines[i].Color = C3(Settings.ESPColor)
                        esp.BoxLines[i].Visible = true
                    end
                end
            elseif Settings.ESPBoxStyle == "Corner" then
                local cornerLen = math.min(w, h) * 0.25
                local pts = {
                    {Vector2.new(cx - w / 2, top), Vector2.new(cx - w / 2 + cornerLen, top)},
                    {Vector2.new(cx - w / 2, top), Vector2.new(cx - w / 2, top + cornerLen)},
                    {Vector2.new(cx + w / 2, top), Vector2.new(cx + w / 2 - cornerLen, top)},
                    {Vector2.new(cx + w / 2, top), Vector2.new(cx + w / 2, top + cornerLen)},
                    {Vector2.new(cx - w / 2, bot), Vector2.new(cx - w / 2 + cornerLen, bot)},
                    {Vector2.new(cx - w / 2, bot), Vector2.new(cx - w / 2, bot - cornerLen)},
                    {Vector2.new(cx + w / 2, bot), Vector2.new(cx + w / 2 - cornerLen, bot)},
                    {Vector2.new(cx + w / 2, bot), Vector2.new(cx + w / 2, bot - cornerLen)},
                }
                for i = 1, 8 do
                    if esp.CornerLines[i] then
                        esp.CornerLines[i].From = pts[i][1]
                        esp.CornerLines[i].To = pts[i][2]
                        esp.CornerLines[i].Color = C3(Settings.ESPColor)
                        esp.CornerLines[i].Thickness = 2
                        esp.CornerLines[i].Visible = true
                    end
                end
            elseif Settings.ESPBoxStyle == "3D" then
                local ext2 = Vector3.new(2, 3, 1.5)
                local corners = {
                    root.Position + Vector3.new(-ext2.X, ext2.Y, -ext2.Z),
                    root.Position + Vector3.new(ext2.X, ext2.Y, -ext2.Z),
                    root.Position + Vector3.new(ext2.X, ext2.Y, ext2.Z),
                    root.Position + Vector3.new(-ext2.X, ext2.Y, ext2.Z),
                    root.Position + Vector3.new(-ext2.X, -ext2.Y, -ext2.Z),
                    root.Position + Vector3.new(ext2.X, -ext2.Y, -ext2.Z),
                    root.Position + Vector3.new(ext2.X, -ext2.Y, ext2.Z),
                    root.Position + Vector3.new(-ext2.X, -ext2.Y, ext2.Z),
                }
                local screenP = {}
                local allOn = true
                for i, cor in ipairs(corners) do
                    local sp, on = Camera:WorldToViewportPoint(cor)
                    screenP[i] = Vector2.new(sp.X, sp.Y)
                    if not on then allOn = false end
                end
                if allOn then
                    local edges = {{1, 2}, {2, 3}, {3, 4}, {4, 1}, {5, 6}, {6, 7}, {7, 8}, {8, 5}, {1, 5}, {2, 6}, {3, 7}, {4, 8}}
                    for i, e in ipairs(edges) do
                        if esp.Box3DLines[i] then
                            esp.Box3DLines[i].From = screenP[e[1]]
                            esp.Box3DLines[i].To = screenP[e[2]]
                            esp.Box3DLines[i].Color = C3(Settings.ESPColor)
                            esp.Box3DLines[i].Visible = true
                        end
                    end
                end
            end
        end

        -- Skeleton
        for _, l in ipairs(esp.SkeletonLines) do l.Visible = false end
        if Settings.ESPSkeleton then
            for i, bone in ipairs(SkeletonBones) do
                local p1 = ch3:FindFirstChild(bone[1])
                local p2 = ch3:FindFirstChild(bone[2])
                if p1 and p2 and esp.SkeletonLines[i] then
                    local s1, o1 = Camera:WorldToViewportPoint(p1.Position)
                    local s2, o2 = Camera:WorldToViewportPoint(p2.Position)
                    if o1 and o2 then
                        esp.SkeletonLines[i].From = Vector2.new(s1.X, s1.Y)
                        esp.SkeletonLines[i].To = Vector2.new(s2.X, s2.Y)
                        esp.SkeletonLines[i].Color = C3(Settings.SkeletonColor)
                        esp.SkeletonLines[i].Visible = true
                    end
                end
            end
        end

        -- Name
        if Settings.ESPNames and esp.NameText then
            local nameStr = player.Name
            if Settings.ShowPlayerFPS then nameStr = nameStr .. " [FPS:" .. currentFPS .. "]" end
            if Settings.ShowPlayerMS then nameStr = nameStr .. " [MS:" .. math.floor(dt * 1000) .. "]" end
            esp.NameText.Text = nameStr
            esp.NameText.Position = Vector2.new(cx, top - 18)
            esp.NameText.Color = C3(Settings.ESPColor)
            esp.NameText.Visible = true
        elseif esp.NameText then
            esp.NameText.Visible = false
        end

        -- Distance
        if Settings.ESPDistance and esp.DistText and LocalPlayer.Character then
            local lp = LocalPlayer.Character:FindFirstChild("HumanoidRootPart")
            if lp then
                local d = math.floor((lp.Position - root.Position).Magnitude)
                esp.DistText.Text = "[" .. d .. "m]"
                esp.DistText.Position = Vector2.new(cx, bot + 4)
                esp.DistText.Visible = true
            end
        elseif esp.DistText then
            esp.DistText.Visible = false
        end

        -- Weapon
        if Settings.ESPWeapon and esp.WeaponText then
            local tool = ch3:FindFirstChildOfClass("Tool")
            if tool then
                esp.WeaponText.Text = "[" .. tool.Name .. "]"
                esp.WeaponText.Position = Vector2.new(cx, bot + 18)
                esp.WeaponText.Color = Color3.fromRGB(255, 200, 100)
                esp.WeaponText.Visible = true
            else
                esp.WeaponText.Visible = false
            end
        elseif esp.WeaponText then
            esp.WeaponText.Visible = false
        end

        -- Health Bar
        if Settings.ESPHealth and esp.HpBG and esp.HpFill then
            local hp = math.clamp(hu.Health / hu.MaxHealth, 0, 1)
            local bx = cx - w / 2 - 7
            esp.HpBG.From = Vector2.new(bx, top)
            esp.HpBG.To = Vector2.new(bx, bot)
            esp.HpBG.Visible = true
            esp.HpFill.Color = Color3.fromRGB(math.floor((1 - hp) * 220), math.floor(hp * 220), 30)
            esp.HpFill.From = Vector2.new(bx, bot)
            esp.HpFill.To = Vector2.new(bx, bot - h * hp)
            esp.HpFill.Visible = true
        else
            if esp.HpBG then esp.HpBG.Visible = false end
            if esp.HpFill then esp.HpFill.Visible = false end
        end

        -- Tracers
        if Settings.ESPTracers and esp.Tracer then
            esp.Tracer.Color = C3(Settings.ESPColor)
            esp.Tracer.From = Vector2.new(Camera.ViewportSize.X / 2, Camera.ViewportSize.Y)
            esp.Tracer.To = Vector2.new(cx, bot)
            esp.Tracer.Visible = true
        elseif esp.Tracer then
            esp.Tracer.Visible = false
        end

        -- Snap Lines
        if Settings.ESPSnapLines and esp.SnapLine then
            esp.SnapLine.Color = C3(Settings.ESPColor)
            esp.SnapLine.From = center
